Description,Price,Rating,ReviewCount,Url
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"₹1,424",4.3 out of 5 stars,"7,644",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4Mzg1MTYzNTgzOTM3MTY5OjE2NzU0NDA1MTg6c3BfYnRmOjIwMTA3NTYzMDUwOTk4OjowOjo&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbags%26qid%3D1675440518%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Dopenain 27 L Casual/ Laptop Bag/Office School College Teens & Students /Backpack for Men Women Boys with Rain Cover,₹489,3.4 out of 5 stars,19,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4Mzg1MTYzNTgzOTM3MTY5OjE2NzU0NDA1MTg6c3BfYnRmOjIwMTE2MzE0MDQ4MDk4OjowOjo&url=%2FDopenain-Casual-College-Students-Backpack%2Fdp%2FB0BG2V1VJ7%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dbags%26qid%3D1675440518%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black","₹1,169",3.9 out of 5 stars,684,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNzY4MTIwNjYxMjk3NDY2OjE2NzU0NDA1MjA6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1675440520%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA385M0TPSNV7VS
Lavie Sport Chairman Director Business Laptop Bags | Premium Leatherette Business Backpacks for Men & Women | Durable Office Bag for Notebook/MacBook,"₹1,099",4.1 out of 5 stars,577,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNzY4MTIwNjYxMjk3NDY2OjE2NzU0NDA1MjA6c3BfYXRmOjIwMTA4NTk1NTk4MDk4OjowOjo&url=%2FLavie-Sport-Chairman-Compatible-compartments%2Fdp%2FB0B45SWK51%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1675440520%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,199",4.1 out of 5 stars,"51,380",https://www.amazon.com/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?keywords=bags&qid=1675440520&sr=8-3
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹565,4.3 out of 5 stars,"9,233",https://www.amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?keywords=bags&qid=1675440520&sr=8-4
Skybags Brat Black 46 Cms Casual Backpack,₹669,4.1 out of 5 stars,"3,373",https://www.amazon.com/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?keywords=bags&qid=1675440520&sr=8-5
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499,3.9 out of 5 stars,463,https://www.amazon.com/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?keywords=bags&qid=1675440520&sr=8-6
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹699,3.9 out of 5 stars,"2,191",https://www.amazon.com/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?keywords=bags&qid=1675440520&sr=8-7
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹889,4.3 out of 5 stars,"5,318",https://www.amazon.com/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_8?keywords=bags&qid=1675440520&sr=8-8
"TRUE HUMAN® Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag ,office bag ,college bags,travel bag ( legend )",₹699,3.7 out of 5 stars,"1,703",https://www.amazon.com/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_9?keywords=bags&qid=1675440520&sr=8-9
DEIN KLEIDER Men's Nylon Messenger Bag,₹349,4.0 out of 5 stars,"4,398",https://www.amazon.com/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_10?keywords=bags&qid=1675440520&sr=8-10
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"₹1,424",4.3 out of 5 stars,"7,644",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNzY4MTIwNjYxMjk3NDY2OjE2NzU0NDA1MjA6c3BfbXRmOjIwMTA3NTYzMDUwOTk4OjowOjo&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dbags%26qid%3D1675440520%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Dopenain 27 L Casual/ Laptop Bag/Office School College Teens & Students /Backpack for Men Women Boys with Rain Cover,₹489,3.4 out of 5 stars,19,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNzY4MTIwNjYxMjk3NDY2OjE2NzU0NDA1MjA6c3BfbXRmOjIwMTE2MzE0MDQ4MDk4OjowOjo&url=%2FDopenain-Casual-College-Students-Backpack%2Fdp%2FB0BG2V1VJ7%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dbags%26qid%3D1675440520%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,₹510,5.0 out of 5 stars,2,https://www.amazon.com/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QQZYN/ref=sr_1_13?keywords=bags&qid=1675440520&sr=8-13
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹349,4.1 out of 5 stars,"7,634",https://www.amazon.com/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_14?keywords=bags&qid=1675440520&sr=8-14
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),₹565,4.0 out of 5 stars,"6,991",https://www.amazon.com/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_15?keywords=bags&qid=1675440520&sr=8-15
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹999,3.9 out of 5 stars,712,https://www.amazon.com/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_16?keywords=bags&qid=1675440520&sr=8-16
ADISA Light Weight Laptop Backpack 32 Ltrs,₹499,4.0 out of 5 stars,"5,549",https://www.amazon.com/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_17?keywords=bags&qid=1675440520&sr=8-17
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9 out of 5 stars,"2,129",https://www.amazon.com/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_18?keywords=bags&qid=1675440520&sr=8-18
ADISA Laptop Backpack 31 Ltrs,₹499,4.0 out of 5 stars,"8,992",https://www.amazon.com/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_19?keywords=bags&qid=1675440520&sr=8-19
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",₹899,3.9 out of 5 stars,675,https://www.amazon.com/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_20?keywords=bags&qid=1675440520&sr=8-20
IRY 41.5 L Laptop Backpack Spacy Freeride Unisex Bag Office/School/College/Business,₹599,,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNzY4MTIwNjYxMjk3NDY2OjE2NzU0NDA1MjA6c3BfYnRmOjIwMTE2NTIwNjgwODk4OjowOjo&url=%2Fdp%2FB0BTPXTQYZ%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbags%26qid%3D1675440520%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Wenger 17.5"" ScanSmart Laptop Backpack, 30 Litres, Black, Swiss Designed-blend of style & function, 612014","₹5,600",4.0 out of 5 stars,21,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNzY4MTIwNjYxMjk3NDY2OjE2NzU0NDA1MjA6c3BfYnRmOjIwMDc4OTIwNzc5Mzk4OjowOjo&url=%2FScanSmart-Backpack-Designed-blend-function-612014%2Fdp%2FB09V1GJ7D6%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dbags%26qid%3D1675440520%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black","₹1,169",3.9 out of 5 stars,684,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDU3NDgxMzkxNTEzODIyOjE2NzU0NDA1MjM6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1675440523%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA385M0TPSNV7VS
Lavie Sport Chairman Director Business Laptop Bags | Premium Leatherette Business Backpacks for Men & Women | Durable Office Bag for Notebook/MacBook,"₹1,099",4.1 out of 5 stars,577,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDU3NDgxMzkxNTEzODIyOjE2NzU0NDA1MjM6c3BfYXRmOjIwMTA4NTk1NTk4MDk4OjowOjo&url=%2FLavie-Sport-Chairman-Compatible-compartments%2Fdp%2FB0B45SWK51%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1675440523%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,199",4.1 out of 5 stars,"51,380",https://www.amazon.com/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?keywords=bags&qid=1675440523&sr=8-3
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹565,4.3 out of 5 stars,"9,233",https://www.amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?keywords=bags&qid=1675440523&sr=8-4
Skybags Brat Black 46 Cms Casual Backpack,₹669,4.1 out of 5 stars,"3,373",https://www.amazon.com/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?keywords=bags&qid=1675440523&sr=8-5
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499,3.9 out of 5 stars,463,https://www.amazon.com/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?keywords=bags&qid=1675440523&sr=8-6
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹699,3.9 out of 5 stars,"2,191",https://www.amazon.com/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?keywords=bags&qid=1675440523&sr=8-7
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹889,4.3 out of 5 stars,"5,318",https://www.amazon.com/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_8?keywords=bags&qid=1675440523&sr=8-8
"TRUE HUMAN® Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag ,office bag ,college bags,travel bag ( legend )",₹699,3.7 out of 5 stars,"1,703",https://www.amazon.com/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_9?keywords=bags&qid=1675440523&sr=8-9
DEIN KLEIDER Men's Nylon Messenger Bag,₹349,4.0 out of 5 stars,"4,398",https://www.amazon.com/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_10?keywords=bags&qid=1675440523&sr=8-10
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"₹1,424",4.3 out of 5 stars,"7,644",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDU3NDgxMzkxNTEzODIyOjE2NzU0NDA1MjM6c3BfbXRmOjIwMTA3NTYzMDUwOTk4OjowOjo&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dbags%26qid%3D1675440523%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Dopenain 27 L Casual/ Laptop Bag/Office School College Teens & Students /Backpack for Men Women Boys with Rain Cover,₹489,3.4 out of 5 stars,19,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDU3NDgxMzkxNTEzODIyOjE2NzU0NDA1MjM6c3BfbXRmOjIwMTE2MzE0MDQ4MDk4OjowOjo&url=%2FDopenain-Casual-College-Students-Backpack%2Fdp%2FB0BG2V1VJ7%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dbags%26qid%3D1675440523%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,₹510,5.0 out of 5 stars,2,https://www.amazon.com/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QQZYN/ref=sr_1_13?keywords=bags&qid=1675440523&sr=8-13
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹349,4.1 out of 5 stars,"7,634",https://www.amazon.com/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_14?keywords=bags&qid=1675440523&sr=8-14
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),₹565,4.0 out of 5 stars,"6,991",https://www.amazon.com/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_15?keywords=bags&qid=1675440523&sr=8-15
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹999,3.9 out of 5 stars,712,https://www.amazon.com/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_16?keywords=bags&qid=1675440523&sr=8-16
ADISA Light Weight Laptop Backpack 32 Ltrs,₹499,4.0 out of 5 stars,"5,549",https://www.amazon.com/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_17?keywords=bags&qid=1675440523&sr=8-17
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9 out of 5 stars,"2,129",https://www.amazon.com/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_18?keywords=bags&qid=1675440523&sr=8-18
ADISA Laptop Backpack 31 Ltrs,₹499,4.0 out of 5 stars,"8,992",https://www.amazon.com/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_19?keywords=bags&qid=1675440523&sr=8-19
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",₹899,3.9 out of 5 stars,675,https://www.amazon.com/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_20?keywords=bags&qid=1675440523&sr=8-20
IRY 41.5 L Laptop Backpack Spacy Freeride Unisex Bag Office/School/College/Business,₹599,,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDU3NDgxMzkxNTEzODIyOjE2NzU0NDA1MjM6c3BfYnRmOjIwMTE2NTIwNjgwODk4OjowOjo&url=%2Fdp%2FB0BTPXTQYZ%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbags%26qid%3D1675440523%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Wenger 17.5"" ScanSmart Laptop Backpack, 30 Litres, Black, Swiss Designed-blend of style & function, 612014","₹5,600",4.0 out of 5 stars,21,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDU3NDgxMzkxNTEzODIyOjE2NzU0NDA1MjM6c3BfYnRmOjIwMDc4OTIwNzc5Mzk4OjowOjo&url=%2FScanSmart-Backpack-Designed-blend-function-612014%2Fdp%2FB09V1GJ7D6%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dbags%26qid%3D1675440523%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black","₹1,169",3.9 out of 5 stars,684,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozODg5MTU1MDAwMzU3MzM4OjE2NzU0NDA1MjU6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1675440525%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA385M0TPSNV7VS
Lavie Sport Chairman Director Business Laptop Bags | Premium Leatherette Business Backpacks for Men & Women | Durable Office Bag for Notebook/MacBook,"₹1,099",4.1 out of 5 stars,577,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozODg5MTU1MDAwMzU3MzM4OjE2NzU0NDA1MjU6c3BfYXRmOjIwMTA4NTk1NTk4MDk4OjowOjo&url=%2FLavie-Sport-Chairman-Compatible-compartments%2Fdp%2FB0B45SWK51%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1675440525%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,199",4.1 out of 5 stars,"51,380",https://www.amazon.com/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?keywords=bags&qid=1675440525&sr=8-3
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹565,4.3 out of 5 stars,"9,233",https://www.amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?keywords=bags&qid=1675440525&sr=8-4
Skybags Brat Black 46 Cms Casual Backpack,₹669,4.1 out of 5 stars,"3,373",https://www.amazon.com/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?keywords=bags&qid=1675440525&sr=8-5
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499,3.9 out of 5 stars,463,https://www.amazon.com/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?keywords=bags&qid=1675440525&sr=8-6
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹699,3.9 out of 5 stars,"2,191",https://www.amazon.com/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?keywords=bags&qid=1675440525&sr=8-7
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹889,4.3 out of 5 stars,"5,318",https://www.amazon.com/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_8?keywords=bags&qid=1675440525&sr=8-8
"TRUE HUMAN® Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag ,office bag ,college bags,travel bag ( legend )",₹699,3.7 out of 5 stars,"1,703",https://www.amazon.com/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_9?keywords=bags&qid=1675440525&sr=8-9
DEIN KLEIDER Men's Nylon Messenger Bag,₹349,4.0 out of 5 stars,"4,398",https://www.amazon.com/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_10?keywords=bags&qid=1675440525&sr=8-10
Dopenain 27 L Casual/ Laptop Bag/Office School College Teens & Students /Backpack for Men Women Boys with Rain Cover,₹489,3.4 out of 5 stars,19,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozODg5MTU1MDAwMzU3MzM4OjE2NzU0NDA1MjU6c3BfbXRmOjIwMTE2MzE0MDQ4MDk4OjowOjo&url=%2FDopenain-Casual-College-Students-Backpack%2Fdp%2FB0BG2V1VJ7%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dbags%26qid%3D1675440525%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
IRY 41.5 L Laptop Backpack Spacy Freeride Unisex Bag Office/School/College/Business,₹599,,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozODg5MTU1MDAwMzU3MzM4OjE2NzU0NDA1MjU6c3BfbXRmOjIwMTE2NTIwNjgwODk4OjowOjo&url=%2Fdp%2FB0BTPXTQYZ%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dbags%26qid%3D1675440525%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,₹510,5.0 out of 5 stars,2,https://www.amazon.com/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QQZYN/ref=sr_1_13?keywords=bags&qid=1675440525&sr=8-13
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹349,4.1 out of 5 stars,"7,634",https://www.amazon.com/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_14?keywords=bags&qid=1675440525&sr=8-14
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),₹565,4.0 out of 5 stars,"6,991",https://www.amazon.com/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_15?keywords=bags&qid=1675440525&sr=8-15
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹999,3.9 out of 5 stars,712,https://www.amazon.com/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_16?keywords=bags&qid=1675440525&sr=8-16
ADISA Light Weight Laptop Backpack 32 Ltrs,₹499,4.0 out of 5 stars,"5,549",https://www.amazon.com/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_17?keywords=bags&qid=1675440525&sr=8-17
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9 out of 5 stars,"2,129",https://www.amazon.com/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_18?keywords=bags&qid=1675440525&sr=8-18
ADISA Laptop Backpack 31 Ltrs,₹499,4.0 out of 5 stars,"8,992",https://www.amazon.com/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_19?keywords=bags&qid=1675440525&sr=8-19
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",₹899,3.9 out of 5 stars,675,https://www.amazon.com/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_20?keywords=bags&qid=1675440525&sr=8-20
"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","₹1,196",4.2 out of 5 stars,"2,166",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozODg5MTU1MDAwMzU3MzM4OjE2NzU0NDA1MjU6c3BfYnRmOjIwMDQzMzIxMTM2NjA2OjowOjo&url=%2FCOSMUS-Multipurpose-Backpack-Bag-compartment%2Fdp%2FB078JVT384%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbags%26qid%3D1675440525%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & A. Blue 1000),"₹1,424",4.3 out of 5 stars,"7,644",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozODg5MTU1MDAwMzU3MzM4OjE2NzU0NDA1MjU6c3BfYnRmOjIwMDMxMzA3NTc2Mzk4OjowOjo&url=%2FHEROZ-Hammer-Backpack-Resistant-Durable%2Fdp%2FB07M82M8G7%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dbags%26qid%3D1675440525%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
